year,make,model,body_styles,color,mileage,price,fuel_type,engine,transmission,safety_rating,trunk_space_liters,features,condition,location,vin,status
2020,Toyota,Corolla,Sedan,Verde,18024,32049,Diesel,1.2L Turbo,Manual,5,296,"Asientos de cuero, Control de crucero adaptativo, Techo solar",Bueno,Bilbao,VIN001000,Available
2020,Toyota,Corolla,Sedan,Gris,13031,62925,Eléctrico,Motor eléctrico,Automático,5,509,"Navegación GPS, Sensores de aparcamiento, Asistente de carril, Control de crucero adaptativo, Asientos calefactables",Muy bueno,Barcelona,VIN001001,Available
2022,Toyota,RAV4,SUV,Rojo,6078,40898,Gasolina,1.5L TDI,Automático,4,515,"Detección de punto ciego, Asientos de cuero, Android Auto",Muy bueno,Bilbao,VIN001002,Available
2022,Toyota,RAV4,SUV,Gris,12601,62174,Gasolina,1.1L TSI,Automático,4,399,"Detección de punto ciego, Android Auto, Apple CarPlay",Bueno,Valencia,VIN001003,Available
2022,Toyota,Camry,Sedan,Blanco,13730,59920,Híbrido,2.1L Turbo,Manual,5,363,"Detección de punto ciego, Android Auto, Portón eléctrico, Faros LED, Asistente de carril, Asientos calefactables",Excelente,Valencia,VIN001004,Available
2020,Toyota,Camry,Sedan,Negro,53857,18103,Híbrido,1.6L Turbo,Manual,5,388,"Detección de punto ciego, Portón eléctrico, Asientos de cuero, Bluetooth, Asientos calefactables, Techo solar",Bueno,Bilbao,VIN001005,Available
2025,Toyota,Yaris,Hatchback,Gris,28077,54242,Eléctrico,Motor eléctrico,Automático,5,392,"Cargador inalámbrico, Asientos calefactables, Cámara trasera, Detección de punto ciego",Excelente,Madrid,VIN001006,Available
2021,Toyota,Yaris,Hatchback,Verde,10484,60596,Eléctrico,Motor eléctrico,Automático,4,477,"Portón eléctrico, Android Auto, Asientos calefactables, Llantas de aleación, Navegación GPS, Faros LED",Bueno,Madrid,VIN001007,Available
2025,Toyota,Yaris,Hatchback,Gris,49209,33486,Híbrido,1.2L,Manual,5,281,"Cargador inalámbrico, Sensores de aparcamiento, Android Auto, Cámara trasera, Faros LED",Muy bueno,Bilbao,VIN001008,Available
2021,Volkswagen,Golf,Hatchback,Blanco,49971,26587,Gasolina,1.9L,Manual,4,465,"Apple CarPlay, Cámara trasera, Techo solar, Climatizador bizona, Asientos calefactables",Excelente,Sevilla,VIN001009,Available
2020,Volkswagen,Golf,Hatchback,Gris,50189,24241,Diesel,2.0L TSI,Automático,5,388,"Climatizador bizona, Detección de punto ciego, Faros LED, Portón eléctrico",Muy bueno,Sevilla,VIN001010,Available
2020,Volkswagen,Tiguan,SUV,Negro,14725,20196,Híbrido,1.0L TSI,Manual,4,316,"Apple CarPlay, Asientos de cuero, Portón eléctrico",Excelente,Valencia,VIN001011,Available
2020,Volkswagen,Tiguan,SUV,Gris,15597,34250,Eléctrico,Motor eléctrico,Automático,5,556,"Asientos calefactables, Apple CarPlay, Detección de punto ciego, Cargador inalámbrico",Muy bueno,Barcelona,VIN001012,Available
2020,Volkswagen,Tiguan,SUV,Rojo,43187,44249,Híbrido,1.6L,Manual,4,311,"Faros LED, Techo solar, Asientos calefactables, Portón eléctrico, Llantas de aleación, Android Auto",Muy bueno,Barcelona,VIN001013,Available
2021,Volkswagen,Polo,Hatchback,Blanco,30318,32371,Gasolina,1.7L Turbo,Manual,4,327,"Sensores de aparcamiento, Llantas de aleación, Apple CarPlay, Portón eléctrico",Excelente,Sevilla,VIN001014,Available
2020,Volkswagen,Polo,Hatchback,Negro,24836,16141,Eléctrico,Motor eléctrico,Automático,5,512,"Llantas de aleación, Asientos calefactables, Asientos de cuero, Techo solar, Bluetooth",Excelente,Madrid,VIN001015,Available
2024,Volkswagen,Polo,Hatchback,Verde,35533,19994,Híbrido,1.1L,Manual,4,540,"Sensores de aparcamiento, Asientos de cuero, Climatizador bizona",Excelente,Barcelona,VIN001016,Available
2020,Volkswagen,Passat,Sedan,Gris,16135,53940,Gasolina,1.9L,Automático,5,384,"Apple CarPlay, Android Auto, Control de crucero adaptativo, Asientos de cuero, Faros LED",Bueno,Valencia,VIN001017,Available
2023,Volkswagen,Passat,Sedan,Blanco,49274,20754,Gasolina,1.7L Turbo,Manual,5,539,"Bluetooth, Asistente de carril, Portón eléctrico, Cámara trasera, Techo solar",Muy bueno,Valencia,VIN001018,Available
2021,Volkswagen,Passat,Sedan,Azul,54640,51600,Híbrido,1.9L Turbo,Automático,4,348,"Techo solar, Cargador inalámbrico, Asistente de carril, Android Auto, Asientos de cuero",Muy bueno,Valencia,VIN001019,Available
2025,Seat,Leon,Hatchback,Blanco,13342,61055,Híbrido,1.8L TDI,Manual,4,604,"Android Auto, Cámara trasera, Navegación GPS, Sensores de aparcamiento, Detección de punto ciego, Asientos de cuero",Bueno,Valencia,VIN001020,Available
2021,Seat,Leon,Hatchback,Verde,28956,52154,Eléctrico,Motor eléctrico,Automático,4,337,"Bluetooth, Cámara trasera, Llantas de aleación",Muy bueno,Bilbao,VIN001021,Available
2023,Seat,Ateca,SUV,Negro,2741,36202,Híbrido,2.3L Turbo,Automático,5,629,"Techo solar, Asistente de carril, Detección de punto ciego, Android Auto",Muy bueno,Bilbao,VIN001022,Available
2025,Seat,Ateca,SUV,Negro,15514,26649,Diesel,2.3L Turbo,Manual,5,490,"Android Auto, Sensores de aparcamiento, Detección de punto ciego, Asistente de carril",Excelente,Sevilla,VIN001023,Available
2023,Seat,Ibiza,Hatchback,Negro,13079,46166,Híbrido,1.5L TSI,Manual,4,617,"Detección de punto ciego, Faros LED, Bluetooth, Llantas de aleación",Excelente,Valencia,VIN001024,Available
2022,Seat,Ibiza,Hatchback,Verde,33384,42193,Híbrido,2.4L Turbo,Automático,5,577,"Cámara trasera, Techo solar, Climatizador bizona, Control de crucero adaptativo, Sensores de aparcamiento",Bueno,Valencia,VIN001025,Available
